Time Period Start Date,Needed,Received,Gap
2020-08-19,9.2,8.7,0.5
2020-09-02,9.7,9.1,0.5999999999999996
2020-09-16,10.4,9.0,1.4000000000000004
2020-09-30,9.7,9.0,0.6999999999999993
2020-10-14,10.6,10.0,0.5999999999999996
2020-10-28,11.2,9.8,1.3999999999999986
2020-11-11,11.1,9.9,1.1999999999999993
2020-11-25,12.0,10.1,1.9000000000000004
2020-12-09,12.4,10.2,2.200000000000001
2021-01-06,11.4,9.6,1.8000000000000007
2021-01-20,11.7,9.8,1.8999999999999986
2021-02-03,11.5,10.3,1.1999999999999993
2021-02-17,11.9,10.3,1.5999999999999996
2021-03-03,11.7,10.6,1.0999999999999996
2021-03-17,11.1,10.1,1.0
2021-04-14,9.9,9.8,0.09999999999999964
2021-04-28,9.8,10.2,-0.3999999999999986
2021-05-12,10.1,10.0,0.09999999999999964
2021-05-26,9.8,10.1,-0.29999999999999893
2021-06-09,9.8,9.7,0.10000000000000142
2021-06-23,10.3,10.8,-0.5
2021-07-21,11.4,10.7,0.7000000000000011
2021-08-04,10.6,10.1,0.5
2021-08-18,11.2,10.1,1.0999999999999996
2021-09-01,11.3,10.3,1.0
2021-09-15,11.6,10.2,1.4000000000000004
2021-09-29,11.0,10.5,0.5
2021-12-01,11.1,10.3,0.7999999999999989
2021-12-29,11.3,10.6,0.7000000000000011
2022-01-26,11.1,10.5,0.5999999999999996
2022-03-02,11.5,11.3,0.1999999999999993
2022-03-30,11.5,10.9,0.5999999999999996
2022-04-27,11.5,11.3,0.1999999999999993
